id,title,language,proportion,number,language_full
1498,"A Voz de Timor (Dili, East Timor : 1970 - 1975)",pt,0.9191919191919192,100,Portuguese
1283,"Berita Repoeblik (Djakarta, Indonesia : 1945 - 1946)",id,0.99,100,Indonesian
1186,"Chinese Republic News (Sydney, NSW : 1914 - 1937)",zh,0.97,100,Chinese
1600,"Deutsch-Australische Post : Wochenschrift = German-Australian Post : Weekly (Sydney, NSW : 1893 - 1906)",de,1.0,100,German
1591,"Die Brucke = The Bridge (Sydney, NSW : 1934 - 1939)",de,0.71,100,German
1591,"Die Brucke = The Bridge (Sydney, NSW : 1934 - 1939)",en,0.29,100,English
1044,"Dutch Australian Weekly (Sydney, NSW : 1951 - 1993)",nl,0.9795918367346939,100,Dutch
1045,"Dutch Weekly (Sydney, NSW : 1993 - 2004)",nl,0.9393939393939394,100,Dutch
1045,"Dutch Weekly (Sydney, NSW : 1993 - 2004)",en,0.06060606060606061,100,English
704,"Guang yi hua bao = The Chinese Australian Herald (Sydney, NSW : 1894 - 1923)",zh,1.0,100,Chinese
279,"Il Giornale Italiano (Sydney, NSW : 1932 - 1940)",it,0.91,100,Italian
279,"Il Giornale Italiano (Sydney, NSW : 1932 - 1940)",en,0.09,100,English
1601,"Il Risveglio = The Awakening (Sydney, NSW : 1944 - 1954)",it,0.75,100,Italian
1601,"Il Risveglio = The Awakening (Sydney, NSW : 1944 - 1954)",en,0.25,100,English
1602,"Italian Bulletin of Australia (Sydney, NSW : 1922 - 1928, 1935 - 1940)",en,0.8,100,English
1602,"Italian Bulletin of Australia (Sydney, NSW : 1922 - 1928, 1935 - 1940)",it,0.15,100,Italian
1602,"Italian Bulletin of Australia (Sydney, NSW : 1922 - 1928, 1935 - 1940)",la,0.05,100,Latin
1603,"Italian Bulletin of Commerce (Sydney, NSW : 1929 - 1935)",en,0.85,100,English
1603,"Italian Bulletin of Commerce (Sydney, NSW : 1929 - 1935)",it,0.14,100,Italian
1595,"Italo-Australian (Sydney, NSW : 1927 - 1940)",it,0.97,100,Italian
1596,"L'Italo-Australiano = The Italo-Australian (Surry Hills, NSW : 1885)",it,0.7021276595744681,100,Italian
1596,"L'Italo-Australiano = The Italo-Australian (Surry Hills, NSW : 1885)",qu,0.05319148936170213,100,Quechua
1596,"L'Italo-Australiano = The Italo-Australian (Surry Hills, NSW : 1885)",la,0.14893617021276595,100,Latin
1596,"L'Italo-Australiano = The Italo-Australian (Surry Hills, NSW : 1885)",an,0.06382978723404255,100,Aragonese
1597,"L'Italo-Australiano = The Italo-Australian (Sydney, NSW : 1905 - 1909)",it,0.97,100,Italian
829,"Le Courrier Australien (Sydney, NSW : 1892 - 2011)",fr,0.76,100,French
829,"Le Courrier Australien (Sydney, NSW : 1892 - 2011)",en,0.24,100,English
280,"Meie Kodu - Our Home (Sydney, NSW : 1949 - 1956)",et,1.0,100,Estonian
1594,"Musu Pastoge = Our Haven (Sydney, NSW : 1950 - 1954)",lt,0.95,100,Lithuanian
